                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.52774,                0.50369,                 1.0257,                 0.8393,                0.69176,                0.75917,                0.54693,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.53859,                0.43492,                 0.9874,                0.84363,                0.68655,                0.76184,                0.55179,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56641,                0.43355,                 1.0561,                 0.8373,                0.70209,                0.76468,                0.55511,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.47175,                 0.3944,                 1.0061,                 0.8313,                0.70437,                0.76758,                0.55708,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.53972,                0.41504,                 1.0329,                 0.8313,                0.70437,                0.76758,                0.55708,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.62266,                0.66686,                 1.0857,                0.82727,                0.70544,                0.76653,                0.55694,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.48218,                0.37889,                0.99903,                0.82633,                0.70343,                0.76637,                0.56053,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.50367,                0.42237,                0.96788,                0.84649,                0.69624,                0.76668,                 0.5633,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.44133,                0.42766,                0.91768,                0.84649,                0.69624,                0.76668,                 0.5633,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.49167,                 0.4363,                0.98733,                0.84838,                0.69777,                0.76615,                0.56437,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.71388,                0.72293,                 1.1542,                0.85456,                0.69777,                0.76332,                0.56236,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.45676,                0.40988,                0.91376,                0.84558,                0.70936,                0.76223,                0.56119,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.41602,                0.41035,                0.86132,                0.84558,                0.70936,                0.76223,                0.56119,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.38524,                0.34801,                0.89475,                0.86352,                 0.6921,                0.76278,                0.55848,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 0.4266,                 0.4456,                0.88252,                 0.8646,                0.69327,                0.76161,                0.56061,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.42318,                0.38244,                0.92999,                0.85147,                0.70623,                  0.766,                0.55987,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.38836,                0.33987,                0.91799,                0.85147,                0.70623,                  0.766,                0.55987,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.40137,                0.42471,                0.88272,                0.84576,                0.71145,                0.76791,                0.56269,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.68264,                0.64887,                 1.1493,                0.84955,                0.70596,                0.76998,                0.56402,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.38916,                0.34287,                0.90251,                0.84839,                0.70593,                0.77192,                0.56529,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
